suicides/100k pop,Unemployment,Average annual working hours per worker,Gini index,Health expenditure (% of GDP),Life satisfaction,% population age 25+ with at least completed post-secondary education,Single (never married),Married,Widowed and not remarried,Married but separated
36.9,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,83866,819136,49257,639
22.77,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,476686,202042,254,4
16.11,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,650386,10067,11,0
15.91,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,273239,961889,33472,338
15.73,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,60683,759986,183856,648
11.29,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,33878,179618,351280,178
8.48,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,385371,276485,1258,14
6.24,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,609206,33370,46,0
14.9,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,1068501,84894,872,13875
14.47,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,323141,374114,2222,43482
10.07,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,197334,776596,14044,87588
9.53,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,67770,414340,41234,42914
8.73,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,13305,90089,40454,6981
8.1,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,844393,159726,3363,43446
5.11,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,251975,446672,9609,83137
2.99,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,22966,50449,108263,7086
2.35,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,90140,346644,138455,57583
2.33,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,206924,775892,54301,139793
30.04,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,326960,840092,8434,53521
27.03,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,519803,207761,836,5864
26.68,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,576094,6381,194,431
20.55,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,113062,545482,37755,38866
11.82,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,38626,116622,45124,3094
6.99,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,481530,270893,1666,11593
5.99,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,273036,841898,22190,74990
5.57,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,561653,13809,239,707
3.91,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,80072,506604,112764,40890
0,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,48586,73953,186536,2653
28.6,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,164217,1687038,447716,21979
15.44,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,612885,5249907,274575,191438
12.6,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,2393230,5928918,82590,337525
8.83,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,2515950,954670,9173,28696
5.57,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,2968337,63057,2425,2035
4.28,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,367848,1008369,2346241,18611
4.12,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,641596,4815060,1253941,196096
3.29,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,1816534,6324206,198172,437362
1.65,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,1957256,1466992,16742,58120
1.49,8.36,1773.2565,35.1,9.27499911,6.057,12.7895298,2731081,149382,651,3866
30.13,6.85,2110.2021,29,8.29921427,5.774,19.34235001,8328,44912,370,2008
19.58,6.85,2110.2021,29,8.29921427,5.774,19.34235001,1210,6796,2000,103
10.27,6.85,2110.2021,29,8.29921427,5.774,19.34235001,29361,636,0,27
9.54,6.85,2110.2021,29,8.29921427,5.774,19.34235001,20077,11645,133,367
8.56,6.85,2110.2021,29,8.29921427,5.774,19.34235001,4218,38314,2092,951
4.03,6.85,2110.2021,29,8.29921427,5.774,19.34235001,6798,34309,7058,862
0,6.85,2110.2021,29,8.29921427,5.774,19.34235001,25555,2024,2,123
0,6.85,2110.2021,29,8.29921427,5.774,19.34235001,12669,16174,206,840
0,6.85,2110.2021,29,8.29921427,5.774,19.34235001,5032,45480,802,2846
0,6.85,2110.2021,29,8.29921427,5.774,19.34235001,2993,4543,8756,136
15.95,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,30350,125503,881,11718
12.78,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,58751,33368,202,1691
10.45,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,84564,1278,2,40
8.32,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,14908,117470,6005,5498
0,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,76965,4114,8,184
0,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,38836,45089,346,3152
0,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,17992,129393,2684,13863
0,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,20113,106409,20588,4834
0,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,9948,13142,28217,321
0,6.38,2052.0757,29.1,9.59870689,6.155,19.9210701,3911,21349,6743,507
23.06,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,9149,91776,29345,865
20.65,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,61728,354398,17369,9302
20.08,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,257201,377247,2291,18213
20.06,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,261353,81045,125,2608
11.04,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,339731,3236,5,92
9.56,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,41157,323244,56267,7053
7.4,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,191422,371283,7502,19562
5.92,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,209838,109510,479,4703
5.23,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,314912,8881,24,350
3.27,3.48,1420.2477,26.8,9.71971755,7.444,37.53755188,10359,61553,125118,525
43.2,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,494431,5800478,427377,52466
42.39,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,1615156,7747273,92420,75804
32.16,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,44986,1136994,425304,6623
24.36,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,2818054,3072751,3252,20857
19.69,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,5004952,181535,176,1796
6.28,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,450540,5191622,2349109,63576
5.3,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,896544,7828004,458130,104447
4.96,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,139271,666604,2420230,6324
2.31,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,4398281,504917,933,4762
2.1,9.63,2043.6,33.2,6.7023798,5.646,24.4025898,1755340,3802110,20497,35384
32.37,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,120795,1182540,305700,15705
14.08,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,402935,3501200,163310,108820
12.97,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,1900590,4964715,44585,178570
7.92,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,2491030,988755,7965,21560
5.36,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,231825,835970,1463175,16320
4.88,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,377515,3214335,789135,113560
4.07,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,1339210,5042535,163750,208880
3.89,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,2343765,60765,5090,2955
2.04,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,1936965,1363035,12050,29855
0.92,21.39,1715.5109,35.7,9.47835693,6.518,26.51465988,2176125,115770,6300,4075
51.57,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,13884.5,184626.5,46127,2614.5
28.7,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,77336,609308,24567,18550
20.49,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,301817.5,751867.5,4143,33725.5
13.55,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,468628.5,7334,15.5,155.5
12.08,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,378390.5,151533,159.5,4419.5
11.73,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,75316,542646,101474.5,14507.5
10.33,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,34699,130053,213725.5,1876
8.63,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,216646,767246,17388.5,35156.5
5.41,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,298348.5,212486,609.5,6650
2.17,4.49,1603.2313,31.6,11.58918948,7.776,40.22422028,434818.5,20843.5,19,507
18.41,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,84138,1137218,533704,27054
13,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,4631654,5116278,62590,224086
12.54,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,516576,7525858,808284,191478
11.91,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,3074766,15782040,413916,572250
7.89,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,8204702,1160492,11686,47092
3.58,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,120760,766740,1596836,29010
3.47,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,718992,6402584,2808280,262464
3.33,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,2368614,16497704,1263844,830412
3.13,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,3221894,6501732,134014,366962
2.55,0.62,2349.2905,39.4,3.809096371,6.217,12.90122986,6938254,2189302,32848,132990
